rq1_dataset_summary_id,dataset_id,dimension,outcome,scheme_count,supported_scheme_ids,documented_no_support_scheme_ids,not_documented_scheme_ids
R1D0246,DS-P17713-MULTIMEDIA-NETWORK-TRAFFIC-2025,temporal,not_documented,2,,,SCH0194 | SCH0195
R1D0247,DS-P17815-ENCRYPTED-DNS,client,supported,2,SCH0465,,SCH0466
R1D0248,DS-P17815-ENCRYPTED-DNS,network,supported,2,SCH0465,,SCH0466
R1D0249,DS-P17815-ENCRYPTED-DNS,temporal,supported,2,SCH0465 | SCH0466,,
R1D0250,DS-P17818-FLOWPRINT-BROWSER-SELF-COLLECTED,client,documented_no_support,2,,SCH0115 | SCH0202,
R1D0251,DS-P17818-FLOWPRINT-BROWSER-SELF-COLLECTED,network,not_documented,2,,,SCH0115 | SCH0202
R1D0252,DS-P17818-FLOWPRINT-BROWSER-SELF-COLLECTED,temporal,not_documented,2,,,SCH0115 | SCH0202
R1D0253,DS-P17818-FLOWPRINT-CROSS-PLATFORM-RECAPTURE-2020,client,not_documented,1,,,SCH0198
R1D0254,DS-P17818-FLOWPRINT-CROSS-PLATFORM-RECAPTURE-2020,network,not_documented,1,,,SCH0198
R1D0255,DS-P17818-FLOWPRINT-CROSS-PLATFORM-RECAPTURE-2020,temporal,not_documented,1,,,SCH0198
R1D0256,DS-P17951-OPENSKY-2020,client,not_documented,4,,,SCH0210 | SCH0211 | SCH0212 | SCH0213
R1D0257,DS-P17951-OPENSKY-2020,network,not_documented,4,,,SCH0210 | SCH0211 | SCH0212 | SCH0213
R1D0258,DS-P17951-OPENSKY-2020,temporal,supported,4,SCH0210 | SCH0212 | SCH0213,,SCH0211
R1D0259,DS-P18011-HUMAN100,client,not_documented,1,,,SCH0214
R1D0260,DS-P18011-HUMAN100,network,not_documented,1,,,SCH0214
R1D0261,DS-P18011-HUMAN100,temporal,not_documented,1,,,SCH0214
R1D0262,DS-P18011-IUA,client,not_documented,2,,,SCH0215 | SCH0216
R1D0263,DS-P18011-IUA,network,not_documented,2,,SCH0216,SCH0215
R1D0264,DS-P18011-IUA,temporal,not_documented,2,,,SCH0215 | SCH0216
R1D0265,DS-P18011-MONKEY500,client,not_documented,1,,,SCH0217
R1D0266,DS-P18011-MONKEY500,network,documented_no_support,1,,SCH0217,
R1D0267,DS-P18011-MONKEY500,temporal,not_documented,1,,,SCH0217
R1D0268,DS-P18222-ENTERPRISE-2017-2021,client,not_documented,1,,,SCH0218
R1D0269,DS-P18222-ENTERPRISE-2017-2021,network,not_documented,1,,,SCH0218
R1D0270,DS-P18222-ENTERPRISE-2017-2021,temporal,supported,1,SCH0218,,
R1D0271,DS-P18348-IOT-ID,client,documented_no_support,1,,SCH0219,
R1D0272,DS-P18348-IOT-ID,network,supported,1,SCH0219,,
R1D0273,DS-P18348-IOT-ID,temporal,supported,1,SCH0219,,
R1D0274,DS-P18385-IOT-LIGHT,client,not_documented,1,,,SCH0221
R1D0275,DS-P18385-IOT-LIGHT,network,not_documented,1,,,SCH0221
R1D0276,DS-P18385-IOT-LIGHT,temporal,not_documented,1,,,SCH0221
R1D0277,DS-P18385-MINESHARK-2023,client,not_documented,1,,,SCH0222
R1D0278,DS-P18385-MINESHARK-2023,network,documented_no_support,1,,SCH0222,
R1D0279,DS-P18385-MINESHARK-2023,temporal,not_documented,1,,,SCH0222
R1D0280,DS-P38868-CATO-CAMPUS-APP-TRAFFIC,client,not_documented,1,,,SCH0470
R1D0281,DS-P38868-CATO-CAMPUS-APP-TRAFFIC,network,documented_no_support,1,,SCH0470,
R1D0282,DS-P38868-CATO-CAMPUS-APP-TRAFFIC,temporal,documented_no_support,1,,SCH0470,
R1D0283,DS-P39015-ENCMAL2021,client,not_documented,2,,,SCH0471 | SCH0474
R1D0284,DS-P39015-ENCMAL2021,network,not_documented,2,,SCH0471,SCH0474
R1D0285,DS-P39015-ENCMAL2021,temporal,not_documented,2,,,SCH0471 | SCH0474
R1D0286,DS-P39132-PROTOCOL-WF,client,documented_no_support,4,,SCH0479 | SCH0480 | SCH0481 | SCH0482,
R1D0287,DS-P39132-PROTOCOL-WF,network,not_documented,4,,,SCH0479 | SCH0480 | SCH0481 | SCH0482
R1D0288,DS-P39132-PROTOCOL-WF,temporal,not_documented,4,,,SCH0479 | SCH0480 | SCH0481 | SCH0482
R1D0289,DS-P39403-IXP-BLACKHOLE-2019-2021,client,not_documented,1,,,SCH0250
R1D0290,DS-P39403-IXP-BLACKHOLE-2019-2021,network,supported,1,SCH0250,,
R1D0291,DS-P39403-IXP-BLACKHOLE-2019-2021,temporal,supported,1,SCH0250,,
R1D0292,DS-P39497-GGFAST-TRACE-A,client,not_documented,1,,,SCH0254
R1D0293,DS-P39497-GGFAST-TRACE-A,network,documented_no_support,1,,SCH0254,
R1D0294,DS-P39497-GGFAST-TRACE-A,temporal,documented_no_support,1,,SCH0254,
R1D0295,DS-P39497-GGFAST-TRACE-B,client,not_documented,1,,,SCH0256
R1D0296,DS-P39497-GGFAST-TRACE-B,network,documented_no_support,1,,SCH0256,
R1D0297,DS-P39497-GGFAST-TRACE-B,temporal,documented_no_support,1,,SCH0256,
R1D0298,DS-P39497-GGFAST-TRACE-C,client,not_documented,1,,,SCH0483
R1D0299,DS-P39497-GGFAST-TRACE-C,network,documented_no_support,1,,SCH0483,
R1D0300,DS-P39497-GGFAST-TRACE-C,temporal,not_documented,1,,,SCH0483
R1D0301,DS-P39497-GGFAST-TRACE-D,client,not_documented,1,,,SCH0257
R1D0302,DS-P39497-GGFAST-TRACE-D,network,documented_no_support,1,,SCH0257,
R1D0303,DS-P39497-GGFAST-TRACE-D,temporal,not_documented,1,,,SCH0257
R1D0304,DS-P39497-GGFAST-TRACE-E,client,not_documented,1,,,SCH0253
R1D0305,DS-P39497-GGFAST-TRACE-E,network,documented_no_support,1,,SCH0253,
R1D0306,DS-P39497-GGFAST-TRACE-E,temporal,documented_no_support,1,,SCH0253,
R1D0307,DS-P39497-GGFAST-TRACE-G,client,not_documented,1,,,SCH0255
R1D0308,DS-P39497-GGFAST-TRACE-G,network,documented_no_support,1,,SCH0255,
R1D0309,DS-P39497-GGFAST-TRACE-G,temporal,documented_no_support,1,,SCH0255,
R1D0310,DS-P40493-HP-OWF,client,not_documented,3,,SCH0266 | SCH0267,SCH0265
R1D0311,DS-P40493-HP-OWF,network,not_documented,3,,SCH0265 | SCH0266,SCH0267
R1D0312,DS-P40493-HP-OWF,temporal,not_documented,3,,SCH0266 | SCH0267,SCH0265
R1D0313,DS-P40572-RADWARE-BOT-2018-2019,client,not_documented,1,,,SCH0268
R1D0314,DS-P40572-RADWARE-BOT-2018-2019,network,not_documented,1,,,SCH0268
R1D0315,DS-P40572-RADWARE-BOT-2018-2019,temporal,supported,1,SCH0268,,
R1D0316,DS-P42020-OWL-PUBLIC-WIFI-2019,client,not_documented,2,,SCH0282,SCH0283
R1D0317,DS-P42020-OWL-PUBLIC-WIFI-2019,network,not_documented,2,,,SCH0282 | SCH0283
R1D0318,DS-P42020-OWL-PUBLIC-WIFI-2019,temporal,not_documented,2,,,SCH0282 | SCH0283
R1D0319,DS-P42427-FOAP-AUTO,client,not_documented,3,,SCH0284 | SCH0285,SCH0191
R1D0320,DS-P42427-FOAP-AUTO,network,not_documented,3,,,SCH0191 | SCH0284 | SCH0285
R1D0321,DS-P42427-FOAP-AUTO,temporal,not_documented,3,,,SCH0191 | SCH0284 | SCH0285
R1D0322,DS-P42427-FOAP-HUMAN,client,not_documented,2,,,SCH0286 | SCH0287
R1D0323,DS-P42427-FOAP-HUMAN,network,not_documented,2,,,SCH0286 | SCH0287
R1D0324,DS-P42427-FOAP-HUMAN,temporal,not_documented,2,,,SCH0286 | SCH0287
R1D0325,DS-P42485-LUMOS,client,not_documented,2,,SCH0291,SCH0292
R1D0326,DS-P42485-LUMOS,network,supported,2,SCH0291 | SCH0292,,
R1D0327,DS-P42485-LUMOS,temporal,not_documented,2,,,SCH0291 | SCH0292
R1D0328,DS-P42512-ONLINE-WF,client,not_documented,3,,SCH0293,SCH0294 | SCH0295
R1D0329,DS-P42512-ONLINE-WF,network,not_documented,3,,,SCH0293 | SCH0294 | SCH0295
R1D0330,DS-P42512-ONLINE-WF,temporal,not_documented,3,,SCH0294 | SCH0295,SCH0293
R1D0331,DS-P42516-MERIT-DEPLOYMENT,client,documented_no_support,1,,SCH0296,
R1D0332,DS-P42516-MERIT-DEPLOYMENT,network,documented_no_support,1,,SCH0296,
R1D0333,DS-P42516-MERIT-DEPLOYMENT,temporal,supported,1,SCH0296,,
R1D0334,DS-P42624-WTW-AMAZON,client,not_documented,2,,,SCH0310 | SCH0315
R1D0335,DS-P42624-WTW-AMAZON,network,not_documented,2,,,SCH0310 | SCH0315
R1D0336,DS-P42624-WTW-AMAZON,temporal,not_documented,2,,,SCH0310 | SCH0315
R1D0337,DS-P42624-WTW-AMAZONDT,client,not_documented,1,,,SCH0313
R1D0338,DS-P42624-WTW-AMAZONDT,network,not_documented,1,,,SCH0313
R1D0339,DS-P42624-WTW-AMAZONDT,temporal,not_documented,1,,,SCH0313
R1D0340,DS-P42624-WTW-NETFLIX,client,not_documented,2,,,SCH0304 | SCH0311
R1D0341,DS-P42624-WTW-NETFLIX,network,not_documented,2,,,SCH0304 | SCH0311
R1D0342,DS-P42624-WTW-NETFLIX,temporal,not_documented,2,,,SCH0304 | SCH0311
R1D0343,DS-P42624-WTW-NETFLIXDT,client,not_documented,1,,,SCH0303
R1D0344,DS-P42624-WTW-NETFLIXDT,network,not_documented,1,,,SCH0303
R1D0345,DS-P42624-WTW-NETFLIXDT,temporal,not_documented,1,,,SCH0303
R1D0346,DS-P42624-WTW-YOUTUBE100,client,not_documented,3,,,SCH0299 | SCH0302 | SCH0312
R1D0347,DS-P42624-WTW-YOUTUBE100,network,supported,3,SCH0302 | SCH0312,SCH0299,
R1D0348,DS-P42624-WTW-YOUTUBE100,temporal,not_documented,3,,,SCH0299 | SCH0302 | SCH0312
R1D0349,DS-P42624-WTW-YOUTUBE200,client,not_documented,1,,,SCH0300
R1D0350,DS-P42624-WTW-YOUTUBE200,network,documented_no_support,1,,SCH0300,
R1D0351,DS-P42624-WTW-YOUTUBE200,temporal,not_documented,1,,,SCH0300
R1D0352,DS-P42624-WTW-YOUTUBECA,client,not_documented,1,,,SCH0308
R1D0353,DS-P42624-WTW-YOUTUBECA,network,not_documented,1,,,SCH0308
R1D0354,DS-P42624-WTW-YOUTUBECA,temporal,not_documented,1,,,SCH0308
R1D0355,DS-P42690-INPUT-AGNOSTIC-KWS-2021,client,documented_no_support,1,,SCH0486,
R1D0356,DS-P42690-INPUT-AGNOSTIC-KWS-2021,network,not_documented,1,,,SCH0486
R1D0357,DS-P42690-INPUT-AGNOSTIC-KWS-2021,temporal,documented_no_support,1,,SCH0486,
R1D0358,DS-P42690-INPUT-AGNOSTIC-SWF-2020,client,documented_no_support,1,,SCH0319,
R1D0359,DS-P42690-INPUT-AGNOSTIC-SWF-2020,network,not_documented,1,,,SCH0319
R1D0360,DS-P42690-INPUT-AGNOSTIC-SWF-2020,temporal,documented_no_support,1,,SCH0319,
R1D0361,DS-P42933-LBNL-SSH,client,not_documented,2,,,SCH0320 | SCH0321
R1D0362,DS-P42933-LBNL-SSH,network,not_documented,2,,SCH0320,SCH0321
R1D0363,DS-P42933-LBNL-SSH,temporal,supported,2,SCH0320 | SCH0321,,
R1D0364,DS-P42933-LBNL-TELNET,client,not_documented,1,,,SCH0322
R1D0365,DS-P42933-LBNL-TELNET,network,not_documented,1,,,SCH0322
R1D0366,DS-P42933-LBNL-TELNET,temporal,supported,1,SCH0322,,
R1D0367,DS-P43001-ROSETTA-APPLICATION,client,not_documented,1,,,SCH0488
R1D0368,DS-P43001-ROSETTA-APPLICATION,network,supported,1,SCH0488,,
R1D0369,DS-P43001-ROSETTA-APPLICATION,temporal,not_documented,1,,,SCH0488
R1D0370,DS-P43001-ROSETTA-WEBSITE,client,not_documented,1,,,SCH0489
R1D0371,DS-P43001-ROSETTA-WEBSITE,network,supported,1,SCH0489,,
R1D0372,DS-P43001-ROSETTA-WEBSITE,temporal,documented_no_support,1,,SCH0489,
R1D0373,DS-P43021-VA-FP,client,supported,5,SCH0327,SCH0323 | SCH0325 | SCH0326 | SCH0328,
R1D0374,DS-P43021-VA-FP,network,supported,5,SCH0327,SCH0323 | SCH0325 | SCH0326 | SCH0328,
R1D0375,DS-P43021-VA-FP,temporal,not_documented,5,,,SCH0323 | SCH0325 | SCH0326 | SCH0327 | SCH0328
R1D0376,DS-P43500-P43500-ALEXA-WSC-FG,client,documented_no_support,3,,SCH0333 | SCH0335 | SCH0337,
R1D0377,DS-P43500-P43500-ALEXA-WSC-FG,network,not_documented,3,,,SCH0333 | SCH0335 | SCH0337
R1D0378,DS-P43500-P43500-ALEXA-WSC-FG,temporal,not_documented,3,,,SCH0333 | SCH0335 | SCH0337
R1D0379,DS-P43500-P43500-ALEXA-WSC-HMM,client,documented_no_support,1,,SCH0332,
R1D0380,DS-P43500-P43500-ALEXA-WSC-HMM,network,not_documented,1,,,SCH0332
R1D0381,DS-P43500-P43500-ALEXA-WSC-HMM,temporal,not_documented,1,,,SCH0332
R1D0382,DS-P43500-P43500-TRANCO-WSC-FG,client,documented_no_support,1,,SCH0336,
R1D0383,DS-P43500-P43500-TRANCO-WSC-FG,network,not_documented,1,,,SCH0336
R1D0384,DS-P43500-P43500-TRANCO-WSC-FG,temporal,not_documented,1,,,SCH0336
R1D0385,DS-P43793-FBSAD,client,not_documented,2,,,SCH0340 | SCH0341
R1D0386,DS-P43793-FBSAD,network,not_documented,2,,,SCH0340 | SCH0341
R1D0387,DS-P43793-FBSAD,temporal,not_documented,2,,,SCH0340 | SCH0341
R1D0388,DS-P43793-LAB-VALIDATION,client,documented_no_support,2,,SCH0342 | SCH0343,
R1D0389,DS-P43793-LAB-VALIDATION,network,not_documented,2,,,SCH0342 | SCH0343
R1D0390,DS-P43793-LAB-VALIDATION,temporal,not_documented,2,,,SCH0342 | SCH0343
R1D0391,DS-P43793-MSAD,client,not_documented,1,,,SCH0344
R1D0392,DS-P43793-MSAD,network,not_documented,1,,,SCH0344
R1D0393,DS-P43793-MSAD,temporal,not_documented,1,,,SCH0344
R1D0394,DS-P43907-SMS-AIT,client,not_documented,2,,,SCH0345 | SCH0346
R1D0395,DS-P43907-SMS-AIT,network,not_documented,2,,,SCH0345 | SCH0346
R1D0396,DS-P43907-SMS-AIT,temporal,supported,2,SCH0345 | SCH0346,,
R1D0397,DS-P44828-INTRADOMAIN-WPF,client,supported,5,SCH0350,,SCH0349 | SCH0490 | SCH0491 | SCH0492
R1D0398,DS-P44828-INTRADOMAIN-WPF,network,not_documented,5,,,SCH0349 | SCH0350 | SCH0490 | SCH0491 | SCH0492
R1D0399,DS-P44828-INTRADOMAIN-WPF,temporal,supported,5,SCH0350,,SCH0349 | SCH0490 | SCH0491 | SCH0492
R1D0400,DS-P45721-APPSNIFFER,client,not_documented,1,,,SCH0356
R1D0401,DS-P45721-APPSNIFFER,network,documented_no_support,1,,SCH0356,
R1D0402,DS-P45721-APPSNIFFER,temporal,supported,1,SCH0356,,
R1D0403,DS-P45879-LOW-OVERHEAD-WF,client,supported,2,SCH0357 | SCH0358,,
R1D0404,DS-P45879-LOW-OVERHEAD-WF,network,not_documented,2,,,SCH0357 | SCH0358
R1D0405,DS-P45879-LOW-OVERHEAD-WF,temporal,not_documented,2,,,SCH0357 | SCH0358
R1D0406,DS-P46126-NETTRACK,client,documented_no_support,1,,SCH0359,
R1D0407,DS-P46126-NETTRACK,network,documented_no_support,1,,SCH0359,
R1D0408,DS-P46126-NETTRACK,temporal,not_documented,1,,,SCH0359
R1D0409,DS-P46215-SCANNERSCOPE,client,documented_no_support,2,,SCH0360 | SCH0361,
R1D0410,DS-P46215-SCANNERSCOPE,network,documented_no_support,2,,SCH0360 | SCH0361,
R1D0411,DS-P46215-SCANNERSCOPE,temporal,not_documented,2,,SCH0361,SCH0360
R1D0412,DS-P46267-TFE-GNN-WWT,client,not_documented,3,,,SCH0363 | SCH0364 | SCH0367
R1D0413,DS-P46267-TFE-GNN-WWT,network,not_documented,3,,,SCH0363 | SCH0364 | SCH0367
R1D0414,DS-P46267-TFE-GNN-WWT,temporal,not_documented,3,,,SCH0363 | SCH0364 | SCH0367
R1D0415,DS-P46522-CF-2022-2023,client,not_documented,6,,,SCH0376 | SCH0377 | SCH0378 | SCH0380 | SCH0382 | SCH0385
R1D0416,DS-P46522-CF-2022-2023,network,not_documented,6,,,SCH0376 | SCH0377 | SCH0378 | SCH0380 | SCH0382 | SCH0385
R1D0417,DS-P46522-CF-2022-2023,temporal,not_documented,6,,,SCH0376 | SCH0377 | SCH0378 | SCH0380 | SCH0382 | SCH0385
R1D0418,DS-P47353-DECETT,client,not_documented,1,,,SCH0399
R1D0419,DS-P47353-DECETT,network,documented_no_support,1,,SCH0399,
R1D0420,DS-P47353-DECETT,temporal,not_documented,1,,,SCH0399
R1D0421,DS-P47584-HOLMES-WATSON,client,supported,5,SCH0401,,SCH0400 | SCH0402 | SCH0403 | SCH0404
R1D0422,DS-P47584-HOLMES-WATSON,network,not_documented,5,,SCH0401,SCH0400 | SCH0402 | SCH0403 | SCH0404
R1D0423,DS-P47584-HOLMES-WATSON,temporal,supported,5,SCH0401,SCH0400,SCH0402 | SCH0403 | SCH0404
R1D0424,DS-P48170-NOMOATS,client,supported,2,SCH0405 | SCH0406,,
R1D0425,DS-P48170-NOMOATS,network,not_documented,2,,,SCH0405 | SCH0406
R1D0426,DS-P48170-NOMOATS,temporal,not_documented,2,,,SCH0405 | SCH0406
R1D0427,DS-P48246-GANDALF,client,not_documented,1,,,SCH0416
R1D0428,DS-P48246-GANDALF,network,not_documented,1,,,SCH0416
R1D0429,DS-P48246-GANDALF,temporal,not_documented,1,,,SCH0416
R1D0430,DS-P48290-QUIC-TCP-WF-2021,client,documented_no_support,1,,SCH0417,
R1D0431,DS-P48290-QUIC-TCP-WF-2021,network,documented_no_support,1,,SCH0417,
R1D0432,DS-P48290-QUIC-TCP-WF-2021,temporal,not_documented,1,,,SCH0417
R1D0433,DS-P48305-HOMESNITCH-FLORIDA-2020,client,documented_no_support,7,,SCH0420 | SCH0421 | SCH0434 | SCH0437 | SCH0440 | SCH0443 | SCH0444,
R1D0434,DS-P48305-HOMESNITCH-FLORIDA-2020,network,documented_no_support,7,,SCH0420 | SCH0421 | SCH0434 | SCH0437 | SCH0440 | SCH0443 | SCH0444,
R1D0435,DS-P48305-HOMESNITCH-FLORIDA-2020,temporal,not_documented,7,,,SCH0420 | SCH0421 | SCH0434 | SCH0437 | SCH0440 | SCH0443 | SCH0444
R1D0436,DS-P48305-HOMESNITCH-FLORIDA-2021-RECAPTURE,client,documented_no_support,2,,SCH0423 | SCH0442,
R1D0437,DS-P48305-HOMESNITCH-FLORIDA-2021-RECAPTURE,network,not_documented,2,,,SCH0423 | SCH0442
R1D0438,DS-P48305-HOMESNITCH-FLORIDA-2021-RECAPTURE,temporal,not_documented,2,,,SCH0423 | SCH0442
R1D0439,DS-P48305-IOT-GENERALIZABILITY-OWN-NC-2020,client,documented_no_support,6,,SCH0424 | SCH0425 | SCH0430 | SCH0431 | SCH0432 | SCH0438,
R1D0440,DS-P48305-IOT-GENERALIZABILITY-OWN-NC-2020,network,documented_no_support,6,,SCH0424 | SCH0425 | SCH0430 | SCH0431 | SCH0432 | SCH0438,
R1D0441,DS-P48305-IOT-GENERALIZABILITY-OWN-NC-2020,temporal,not_documented,6,,,SCH0424 | SCH0425 | SCH0430 | SCH0431 | SCH0432 | SCH0438
R1D0442,DS-P48305-IOT-GENERALIZABILITY-OWN-NC-2021-RECAPTURE,client,documented_no_support,1,,SCH0419,
R1D0443,DS-P48305-IOT-GENERALIZABILITY-OWN-NC-2021-RECAPTURE,network,documented_no_support,1,,SCH0419,
R1D0444,DS-P48305-IOT-GENERALIZABILITY-OWN-NC-2021-RECAPTURE,temporal,not_documented,1,,,SCH0419
R1D0445,DS-P48443-EXPLAINWF-LIVE-TOR,client,not_documented,1,,,SCH0447
R1D0446,DS-P48443-EXPLAINWF-LIVE-TOR,network,not_documented,1,,,SCH0447
R1D0447,DS-P48443-EXPLAINWF-LIVE-TOR,temporal,not_documented,1,,,SCH0447
R1D0448,DS-P48443-EXPLAINWF-SHADOW,client,documented_no_support,1,,SCH0446,
R1D0449,DS-P48443-EXPLAINWF-SHADOW,network,documented_no_support,1,,SCH0446,
R1D0450,DS-P48443-EXPLAINWF-SHADOW,temporal,documented_no_support,1,,SCH0446,
R1D0451,DS-P48659-LONGENOUGH,client,documented_no_support,1,,SCH0448,
R1D0452,DS-P48659-LONGENOUGH,network,documented_no_support,1,,SCH0448,
R1D0453,DS-P48659-LONGENOUGH,temporal,not_documented,1,,,SCH0448
R1D0454,DS-P48723-TEX-2022,client,supported,1,SCH0449,,
R1D0455,DS-P48723-TEX-2022,network,documented_no_support,1,,SCH0449,
R1D0456,DS-P48723-TEX-2022,temporal,documented_no_support,1,,SCH0449,
R1D0457,DS-P48723-TEX-2023,client,documented_no_support,1,,SCH0450,
R1D0458,DS-P48723-TEX-2023,network,not_documented,1,,,SCH0450
R1D0459,DS-P48723-TEX-2023,temporal,documented_no_support,1,,SCH0450,
R1D0460,DS-PEERRUSH,client,not_documented,3,,SCH0238 | SCH0260,SCH0209
R1D0461,DS-PEERRUSH,network,not_documented,3,,,SCH0209 | SCH0238 | SCH0260
R1D0462,DS-PEERRUSH,temporal,not_documented,3,,,SCH0209 | SCH0238 | SCH0260
R1D0463,DS-PINGPONG-IOT,client,documented_no_support,1,,SCH0439,
R1D0464,DS-PINGPONG-IOT,network,documented_no_support,1,,SCH0439,
R1D0465,DS-PINGPONG-IOT,temporal,not_documented,1,,,SCH0439
R1D0466,DS-QUIC-2019,client,not_documented,1,,,SCH0008
R1D0467,DS-QUIC-2019,network,not_documented,1,,,SCH0008
R1D0468,DS-QUIC-2019,temporal,not_documented,1,,,SCH0008
R1D0469,DS-RECON-APPVERSIONS,client,not_documented,2,,,SCH0196 | SCH0203
R1D0470,DS-RECON-APPVERSIONS,network,not_documented,2,,,SCH0196 | SCH0203
R1D0471,DS-RECON-APPVERSIONS,temporal,not_documented,2,,,SCH0196 | SCH0203
R1D0472,DS-SHAME-ALEXA-2021,client,documented_no_support,1,,SCH0070,
R1D0473,DS-SHAME-ALEXA-2021,network,not_documented,1,,,SCH0070
R1D0474,DS-SHAME-ALEXA-2021,temporal,not_documented,1,,,SCH0070
R1D0475,DS-SIVANATHAN-IOT-2018,client,not_documented,3,,SCH0241 | SCH0426,SCH0234
R1D0476,DS-SIVANATHAN-IOT-2018,network,not_documented,3,,SCH0241 | SCH0426,SCH0234
R1D0477,DS-SIVANATHAN-IOT-2018,temporal,not_documented,3,,,SCH0234 | SCH0241 | SCH0426
R1D0478,DS-SJTU-AN21,client,not_documented,1,,,SCH0371
R1D0479,DS-SJTU-AN21,network,not_documented,1,,,SCH0371
R1D0480,DS-SJTU-AN21,temporal,not_documented,1,,,SCH0371
R1D0481,DS-STRATOSPHERE-IOT-MALWARE-NETML,client,not_documented,1,,,SCH0085
R1D0482,DS-STRATOSPHERE-IOT-MALWARE-NETML,network,not_documented,1,,,SCH0085
R1D0483,DS-STRATOSPHERE-IOT-MALWARE-NETML,temporal,not_documented,1,,,SCH0085
R1D0484,DS-STREAMING-VIDEO-PROVIDERS-BRONZINO-2019,client,not_documented,1,,,SCH0083
R1D0485,DS-STREAMING-VIDEO-PROVIDERS-BRONZINO-2019,network,documented_no_support,1,,SCH0083,
R1D0486,DS-STREAMING-VIDEO-PROVIDERS-BRONZINO-2019,temporal,not_documented,1,,,SCH0083
R1D0487,DS-TII-SSRC-23,client,documented_no_support,1,,SCH0339,
R1D0488,DS-TII-SSRC-23,network,documented_no_support,1,,SCH0339,
R1D0489,DS-TII-SSRC-23,temporal,documented_no_support,1,,SCH0339,
R1D0490,DS-TIKTOK-LIVE-WALKIE-TALKIE-2019,client,not_documented,2,,,SCH0331 | SCH0408
R1D0491,DS-TIKTOK-LIVE-WALKIE-TALKIE-2019,network,not_documented,2,,,SCH0331 | SCH0408
R1D0492,DS-TIKTOK-LIVE-WALKIE-TALKIE-2019,temporal,not_documented,2,,,SCH0331 | SCH0408
R1D0493,DS-TON-IOT,client,not_documented,1,,,SCH0387
R1D0494,DS-TON-IOT,network,documented_no_support,1,,SCH0387,
R1D0495,DS-TON-IOT,temporal,not_documented,1,,,SCH0387
R1D0496,DS-UAV-ACTIVITY-LABAYEN-2020,client,not_documented,1,,,SCH0317
R1D0497,DS-UAV-ACTIVITY-LABAYEN-2020,network,not_documented,1,,,SCH0317
R1D0498,DS-UAV-ACTIVITY-LABAYEN-2020,temporal,not_documented,1,,,SCH0317
R1D0499,DS-UNSW-NB15,client,not_documented,8,,,SCH0018 | SCH0032 | SCH0033 | SCH0034 | SCH0035 | SCH0133 | SCH0229 | SCH0239
R1D0500,DS-UNSW-NB15,network,documented_no_support,8,,SCH0018 | SCH0032 | SCH0033 | SCH0034 | SCH0035 | SCH0133 | SCH0229 | SCH0239,
R1D0501,DS-UNSW-NB15,temporal,not_documented,8,,,SCH0018 | SCH0032 | SCH0033 | SCH0034 | SCH0035 | SCH0133 | SCH0229 | SCH0239
R1D0502,DS-USTC-TFC-2016,client,not_documented,9,,,SCH0006 | SCH0232 | SCH0244 | SCH0261 | SCH0277 | SCH0355 | SCH0369 | SCH0396 | SCH0398
R1D0503,DS-USTC-TFC-2016,network,not_documented,9,,,SCH0006 | SCH0232 | SCH0244 | SCH0261 | SCH0277 | SCH0355 | SCH0369 | SCH0396 | SCH0398
R1D0504,DS-USTC-TFC-2016,temporal,not_documented,9,,,SCH0006 | SCH0232 | SCH0244 | SCH0261 | SCH0277 | SCH0355 | SCH0369 | SCH0396 | SCH0398
R1D0505,DS-WALSH-VIDEO-2024,client,not_documented,4,,,SCH0451 | SCH0452 | SCH0494 | SCH0495
R1D0506,DS-WALSH-VIDEO-2024,network,supported,4,SCH0451 | SCH0452 | SCH0494,SCH0495,
R1D0507,DS-WALSH-VIDEO-2024,temporal,not_documented,4,,,SCH0451 | SCH0452 | SCH0494 | SCH0495
R1D0508,DS-WANG-WF-2014,client,not_documented,5,,,SCH0135 | SCH0138 | SCH0275 | SCH0383 | SCH0410
R1D0509,DS-WANG-WF-2014,network,not_documented,5,,,SCH0135 | SCH0138 | SCH0275 | SCH0383 | SCH0410
R1D0510,DS-WANG-WF-2014,temporal,not_documented,5,,,SCH0135 | SCH0138 | SCH0275 | SCH0383 | SCH0410
R1D0511,DS-WHISPER-MALICIOUS-TRAFFIC,client,not_documented,2,,,SCH0108 | SCH0158
R1D0512,DS-WHISPER-MALICIOUS-TRAFFIC,network,not_documented,2,,,SCH0108 | SCH0158
R1D0513,DS-WHISPER-MALICIOUS-TRAFFIC,temporal,not_documented,2,,,SCH0108 | SCH0158
R1D0514,DS-YOURTHINGS-2019,client,documented_no_support,7,,SCH0418 | SCH0422 | SCH0427 | SCH0428 | SCH0433 | SCH0435 | SCH0441,
R1D0515,DS-YOURTHINGS-2019,network,documented_no_support,7,,SCH0418 | SCH0422 | SCH0427 | SCH0428 | SCH0433 | SCH0435 | SCH0441,
R1D0516,DS-YOURTHINGS-2019,temporal,not_documented,7,,,SCH0418 | SCH0422 | SCH0427 | SCH0428 | SCH0433 | SCH0435 | SCH0441
