rq2_paper_summary_id,paper_id,dimension,outcome,evaluation_count,holdout_design_ids,documented_no_holdout_design_ids,not_documented_design_ids
R2P0266,P45721,network,documented_no_holdout,4,,DES0498 | DES0499 | DES0500 | DES0501,
R2P0267,P45721,temporal,documented_holdout,4,DES0498 | DES0499 | DES0500,DES0501,
R2P0268,P45879,client,documented_no_holdout,2,,DES0502 | DES0503,
R2P0269,P45879,network,documented_no_holdout,2,,DES0502 | DES0503,
R2P0270,P45879,temporal,not_documented,2,,,DES0502 | DES0503
R2P0271,P46126,client,documented_no_holdout,1,,DES0173,
R2P0272,P46126,network,documented_no_holdout,1,,DES0173,
R2P0273,P46126,temporal,documented_no_holdout,1,,DES0173,
R2P0274,P46215,client,not_documented,4,,DES0174 | DES0175 | DES0177,DES0176
R2P0275,P46215,network,documented_no_holdout,4,,DES0174 | DES0175 | DES0176 | DES0177,
R2P0276,P46215,temporal,not_documented,4,,,DES0174 | DES0175 | DES0176 | DES0177
R2P0277,P46267,client,documented_no_holdout,7,,DES0504 | DES0505 | DES0506 | DES0507 | DES0508 | DES0509 | DES0510,
R2P0278,P46267,network,documented_no_holdout,7,,DES0504 | DES0505 | DES0506 | DES0507 | DES0508 | DES0509 | DES0510,
R2P0279,P46267,temporal,documented_no_holdout,7,,DES0504 | DES0505 | DES0506 | DES0507 | DES0508 | DES0509 | DES0510,
R2P0280,P46427,client,not_documented,5,,,DES0511 | DES0512 | DES0513 | DES0514 | DES0515
R2P0281,P46427,network,not_documented,5,,DES0512 | DES0513,DES0511 | DES0514 | DES0515
R2P0282,P46427,temporal,not_documented,5,,DES0511,DES0512 | DES0513 | DES0514 | DES0515
R2P0283,P46522,client,documented_no_holdout,7,,DES0516 | DES0517 | DES0518 | DES0519 | DES0520 | DES0521 | DES0522,
R2P0284,P46522,network,documented_no_holdout,7,,DES0516 | DES0517 | DES0518 | DES0519 | DES0520 | DES0521 | DES0522,
R2P0285,P46522,temporal,documented_no_holdout,7,,DES0516 | DES0517 | DES0518 | DES0519 | DES0520 | DES0521 | DES0522,
R2P0286,P46578,client,documented_no_holdout,2,,DES0523 | DES0524,
R2P0287,P46578,network,documented_no_holdout,2,,DES0523 | DES0524,
R2P0288,P46578,temporal,documented_no_holdout,2,,DES0523 | DES0524,
R2P0289,P47085,client,not_documented,10,,DES0529 | DES0534,DES0525 | DES0526 | DES0527 | DES0528 | DES0530 | DES0531 | DES0532 | DES0533
R2P0290,P47085,network,not_documented,10,,DES0534,DES0525 | DES0526 | DES0527 | DES0528 | DES0529 | DES0530 | DES0531 | DES0532 | DES0533
R2P0291,P47085,temporal,not_documented,10,,DES0531 | DES0534,DES0525 | DES0526 | DES0527 | DES0528 | DES0529 | DES0530 | DES0532 | DES0533
R2P0292,P47353,client,not_documented,6,,,DES0535 | DES0536 | DES0537 | DES0538 | DES0539 | DES0540
R2P0293,P47353,network,not_documented,6,,,DES0535 | DES0536 | DES0537 | DES0538 | DES0539 | DES0540
R2P0294,P47353,temporal,not_documented,6,,,DES0535 | DES0536 | DES0537 | DES0538 | DES0539 | DES0540
R2P0295,P47584,client,documented_holdout,12,DES0549 | DES0550,DES0541 | DES0542 | DES0543 | DES0544 | DES0545 | DES0546 | DES0547 | DES0548 | DES0551 | DES0552,
R2P0296,P47584,network,documented_no_holdout,12,,DES0541 | DES0542 | DES0543 | DES0544 | DES0545 | DES0546 | DES0547 | DES0548 | DES0549 | DES0550 | DES0551 | DES0552,
R2P0297,P47584,temporal,documented_holdout,12,DES0545 | DES0546,DES0541 | DES0542 | DES0543 | DES0544 | DES0547 | DES0548 | DES0549 | DES0550 | DES0551 | DES0552,
R2P0298,P48170,client,documented_no_holdout,2,,DES0178 | DES0179,
R2P0299,P48170,network,documented_no_holdout,2,,DES0178 | DES0179,
R2P0300,P48170,temporal,documented_no_holdout,2,,DES0178 | DES0179,
R2P0301,P48205,client,documented_no_holdout,4,,DES0553 | DES0554 | DES0555 | DES0556,
R2P0302,P48205,network,documented_no_holdout,4,,DES0553 | DES0554 | DES0555 | DES0556,
R2P0303,P48205,temporal,documented_no_holdout,4,,DES0553 | DES0554 | DES0555 | DES0556,
R2P0304,P48207,client,documented_no_holdout,4,,DES0557 | DES0558 | DES0559 | DES0560,
R2P0305,P48207,network,documented_no_holdout,4,,DES0557 | DES0558 | DES0559 | DES0560,
R2P0306,P48207,temporal,documented_no_holdout,4,,DES0557 | DES0558 | DES0559 | DES0560,
R2P0307,P48246,client,documented_no_holdout,3,,DES0561 | DES0562 | DES0563,
R2P0308,P48246,network,documented_no_holdout,3,,DES0561 | DES0562 | DES0563,
R2P0309,P48246,temporal,documented_no_holdout,3,,DES0561 | DES0562 | DES0563,
R2P0310,P48290,client,documented_no_holdout,2,,DES0564 | DES0565,
R2P0311,P48290,network,documented_no_holdout,2,,DES0564 | DES0565,
R2P0312,P48290,temporal,documented_no_holdout,2,,DES0564 | DES0565,
R2P0313,P48305,client,documented_holdout,22,DES0574 | DES0575 | DES0576 | DES0577 | DES0578 | DES0579 | DES0580 | DES0581 | DES0582 | DES0583 | DES0584 | DES0585,DES0566 | DES0567 | DES0568 | DES0569 | DES0570 | DES0571,DES0572 | DES0573 | DES0586 | DES0587
R2P0314,P48305,network,documented_holdout,22,DES0574 | DES0575 | DES0576 | DES0577 | DES0578 | DES0579 | DES0580 | DES0581 | DES0582 | DES0583 | DES0584 | DES0585,DES0566 | DES0567 | DES0568 | DES0569 | DES0570 | DES0571 | DES0572 | DES0573 | DES0586 | DES0587,
R2P0315,P48305,temporal,documented_holdout,22,DES0572 | DES0575 | DES0577 | DES0586,DES0566 | DES0567 | DES0568 | DES0569 | DES0570 | DES0571 | DES0573 | DES0574 | DES0576 | DES0578 | DES0579 | DES0580 | DES0581 | DES0582 | DES0583 | DES0584 | DES0585 | DES0587,
R2P0316,P48443,client,documented_holdout,7,DES0590 | DES0591 | DES0594,DES0588 | DES0589 | DES0592 | DES0593,
R2P0317,P48443,network,documented_no_holdout,7,,DES0588 | DES0589 | DES0590 | DES0591 | DES0592 | DES0593 | DES0594,
R2P0318,P48443,temporal,documented_no_holdout,7,,DES0588 | DES0589 | DES0590 | DES0591 | DES0592 | DES0593 | DES0594,
R2P0319,P48659,client,documented_no_holdout,3,,DES0595 | DES0596 | DES0597,
R2P0320,P48659,network,documented_no_holdout,3,,DES0595 | DES0596 | DES0597,
R2P0321,P48659,temporal,not_documented,3,,DES0595 | DES0596,DES0597
R2P0322,P48723,client,documented_holdout,4,DES0180 | DES0181,DES0182 | DES0183,
R2P0323,P48723,network,not_documented,4,,DES0180 | DES0181 | DES0182,DES0183
R2P0324,P48723,temporal,documented_holdout,4,DES0183,DES0180 | DES0181 | DES0182,
R2P0325,P48758,client,documented_no_holdout,6,,DES0236 | DES0237 | DES0238 | DES0599 | DES0601 | DES0603,
R2P0326,P48758,network,documented_holdout,6,DES0601 | DES0603,DES0237 | DES0238,DES0236 | DES0599
R2P0327,P48758,temporal,not_documented,6,,DES0237 | DES0238 | DES0601 | DES0603,DES0236 | DES0599
