use_id,paper_id,dataset_id,reported_names,evaluation_roles,task_families,scheme_ids,design_ids,complete_scheme_count,partial_component_scheme_count,evidence_ids
USE0133,P18348,DS-P18348-IOT-ID,UK Dec-2022 idle | USA Dec-2022 idle | UK Jan-2023 mixed | USA Jan-2023 mixed | UK Mar-2023 mixed | USA Mar-2023 mixed | UK Jun-2023 mixed | USA Jun-2023 mixed | UK Dec-2023 mixed | USA Dec-2023 mixed | UK Feb-2024 active | April-2024 sampling-rate capture,training | validation | test,endpoint_or_platform_identification,SCH0219,DES0361 | DES0362 | DES0363 | DES0364 | DES0365 | DES0366 | DES0367 | DES0368 | DES0369 | DES0370 | DES0371 | DES0372 | DES0373 | DES0374,1,0,EVD0458 | EVD0505 | EVD0558 | EVD0568 | EVD0588 | EVD0656 | EVD0751 | EVD0754 | EVD0761 | EVD0802 | EVD0804 | EVD0806 | EVD2017 | EVD2018 | EVD2019 | EVD2020 | EVD2021 | EVD2022 | EVD2023 | EVD2024 | EVD2025 | EVD2026 | EVD2027 | EVD2028 | EVD2029 | EVD2030 | EVD2031
USE0134,P18385,DS-P39009-CJ-SNIFFER-CRYPTOMINING-2022,not_reported,not_reported,security_state_classification,SCH0220,DES0128,0,1,EVD1793
USE0135,P18385,DS-P18385-IOT-LIGHT,not_reported,not_reported,security_state_classification,SCH0221,DES0128 | DES0129 | DES0130,1,0,EVD1793
USE0136,P18385,DS-P18385-MINESHARK-2023,not_reported,not_reported,security_state_classification,SCH0222,DES0129 | DES0130 | DES0131 | DES0132,1,0,EVD1793 | EVD1798 | EVD1800
USE0137,P26148,DS-KDDCUP-99,not_reported,not_reported,security_state_classification,SCH0227 | SCH0228,DES0137 | DES0138,2,0,EVD1802 | EVD1812 | EVD1813
USE0138,P26148,DS-CTU-13,not_reported,not_reported,security_state_classification,SCH0226,DES0136,1,0,EVD1802 | EVD1812 | EVD1813
USE0139,P26148,DS-ANOSHIFT,not_reported,not_reported,security_state_classification,SCH0223,DES0133,1,0,EVD1802 | EVD1812 | EVD1813
USE0140,P26148,DS-CIC-IDS-2017,not_reported,not_reported,security_state_classification,SCH0224,DES0134,1,0,EVD1802 | EVD1812 | EVD1813
USE0141,P26148,DS-UNSW-NB15,not_reported,not_reported,security_state_classification,SCH0229,DES0139,1,0,EVD1802 | EVD1812 | EVD1813
USE0142,P26148,DS-CSE-CIC-IDS-2018,not_reported,not_reported,security_state_classification,SCH0225,DES0135,1,0,EVD1802 | EVD1812 | EVD1813
USE0143,P35345,DS-CROSS-PLATFORM-2017,CrossPlatform,training | validation | test,semantic_inference,SCH0230,DES0376,1,0,EVD0786 | EVD2033
USE0144,P35345,DS-ISCX-VPN-2016,ISCXVPN2016,training | validation | test,other_eligible_fixed_labels,SCH0233,DES0375,1,0,EVD0789 | EVD2032
USE0145,P35345,DS-USTC-TFC-2016,USTC-TFC2016,training | validation | test,other_eligible_fixed_labels,SCH0232,DES0377,1,0,EVD0465 | EVD2034
USE0146,P35345,DS-MALWARE-TRAFFIC-ANALYSIS-NET,Malware2023,training | validation | test,security_state_classification,SCH0231,DES0378,1,0,EVD0722 | EVD2035
USE0147,P38630,DS-SIVANATHAN-IOT-2018,IoT device dataset | Sivanathan dataset,training | validation | test,endpoint_or_platform_identification,SCH0234,DES0380,1,0,EVD0732 | EVD2037 | EVD2038
USE0148,P38761,DS-ISCX-VPN-2016,ISCXVPN2016 | ISCX-VPN,training | validation | test,semantic_inference,SCH0237,DES0383,1,0,EVD0539 | EVD2041
USE0149,P38761,DS-PEERRUSH,PeerRush,training | validation | test,semantic_inference,SCH0238,DES0384,1,0,EVD0682 | EVD2042
USE0150,P38761,DS-BOT-IOT,BOTIOT | Bot-IoT,training | validation | test,security_state_classification,SCH0236,DES0381,1,0,EVD0528 | EVD2039
USE0151,P38761,DS-CIC-IOT-2022,CICIOT2022 | CICIoT2022,training | validation | test,security_state_classification,SCH0235,DES0382,1,0,EVD0712 | EVD2040
USE0152,P38798,DS-CIC-IDS-2017,CICIDS-2017 | CICIDS2017,training | validation | test,security_state_classification,SCH0240,DES0385,1,0,EVD0504 | EVD2043
USE0153,P38798,DS-UNSW-NB15,UNSW-NB15 | UNSW NB15,training | validation | test,security_state_classification,SCH0239,DES0386,1,0,EVD0678 | EVD2044
USE0154,P38868,DS-SIVANATHAN-IOT-2018,UNSW IoT dataset,training | validation | test,endpoint_or_platform_identification,SCH0241,DES0388,1,0,EVD0462 | EVD0725 | EVD1815 | EVD2046
USE0155,P39009,DS-P39009-CJ-SNIFFER-CRYPTOMINING-2022,collected cryptomining dataset | packet-level cryptomining traffic dataset | CJ-Sniffer Dataset,training | calibration | test,security_state_classification,SCH0243,DES0389,0,1,EVD0762 | EVD0780 | EVD1816 | EVD2047 | EVD2049
USE0156,P39009,DS-P39009-CJ-SNIFFER-CONTRAST-CAMPUS-LAB,contrast network traffic | contrast traffic,background_open_world | test,security_state_classification,SCH0242,DES0389,0,1,EVD0755 | EVD2047 | EVD2048 | EVD2049
USE0157,P39064,DS-CROSS-PLATFORM-2017,Cross-Platform | Cross-platform dataset,test,semantic_inference,SCH0247,DES0397,1,0,EVD0681 | EVD2057
USE0158,P39064,DS-ISCX-VPN-2016,ISCX-VPN-2016 | ISCX VPN-nonVPN,training | validation | test,semantic_inference,SCH0245 | SCH0248,DES0394 | DES0395,2,0,EVD0604 | EVD2054 | EVD2055
USE0159,P39064,DS-USTC-TFC-2016,USTC-TFC-2016,training | validation | test,other_eligible_fixed_labels,SCH0244,DES0393,1,0,EVD0672 | EVD2053
USE0160,P39064,DS-ISCX-TOR-2016,ISCX-Tor-2016 | ISCX Tor-nonTor,training | validation | test,semantic_inference,SCH0249,DES0396,1,0,EVD0600 | EVD2056
USE0161,P39064,DS-CSE-CIC-IDS-2018,CIC-IDS2018,training | validation | test,security_state_classification,SCH0246,DES0392,1,0,EVD0660 | EVD2052
USE0162,P39403,DS-P39403-IXP-BLACKHOLE-2019-2021,not_reported,not_reported,security_state_classification,SCH0250,DES0140 | DES0141 | DES0142 | DES0143,1,0,EVD1825 | EVD1826 | EVD1829
USE0163,P39497,DS-P39497-GGFAST-TRACE-A,A,training | test,semantic_inference,SCH0254,DES0407,1,0,EVD0717 | EVD2067
USE0164,P39497,DS-P39497-GGFAST-TRACE-G,G,training | test,semantic_inference,SCH0255,DES0411 | DES0412,1,0,EVD0699 | EVD2071 | EVD2072
USE0165,P39497,DS-P39497-GGFAST-TRACE-E,E,training | test,semantic_inference,SCH0253,DES0410,1,0,EVD0516 | EVD2070
USE0166,P39497,DS-AUCKLAND-VI-2001,AUCK-VI | AUCK-VI WAND,training | test,semantic_inference,SCH0252,DES0406,1,0,EVD0738 | EVD2066
USE0167,P39497,DS-P39497-GGFAST-TRACE-B,B,training | test,semantic_inference,SCH0256,DES0408,1,0,EVD0498 | EVD2068
USE0168,P39497,DS-P39497-GGFAST-TRACE-D,D,training | test,semantic_inference,SCH0257,DES0409,1,0,EVD0538 | EVD2069
USE0169,P39771,DS-ISCX-VPN-2016,ISCXVPN2016 | ISCXVPN,training | validation | test,semantic_inference,SCH0258,DES0415,1,0,EVD0466 | EVD2075
USE0170,P39771,DS-PEERRUSH,PeerRush,training | validation | test,semantic_inference,SCH0260,DES0413,1,0,EVD0633 | EVD2073
USE0171,P39771,DS-CIC-IOT-2022,CICIOT2022 | CICIOT,training | validation | test,semantic_inference,SCH0259,DES0414,1,0,EVD0514 | EVD2074
USE0172,P39804,DS-ISCX-VPN-2016,ISCX-VPN,training | validation | test,semantic_inference,SCH0262 | SCH0263 | SCH0264,DES0419 | DES0420 | DES0423 | DES0425,3,0,EVD0487 | EVD0734 | EVD1832 | EVD2079 | EVD2080 | EVD2083 | EVD2085
USE0173,P39804,DS-USTC-TFC-2016,USTC-TFC,training | validation | test,semantic_inference,SCH0261,DES0421,1,0,EVD0482 | EVD0507 | EVD2081
USE0174,P40493,DS-P40493-HP-OWF,main data set | undefended dataset | HP-OWF dataset | Wikipedia data set | Wikipedia dataset | different data set | different monitored pages data set | AJAX1 | AJAX2 | LINKS1 | LINKS2 | active-client dataset,training | validation | background_open_world | test,semantic_inference,SCH0265 | SCH0266 | SCH0267,DES0427 | DES0428 | DES0429,3,0,EVD0523 | EVD0532 | EVD0624 | EVD0747 | EVD2087 | EVD2088 | EVD2089 | EVD2090
USE0175,P40572,DS-P40572-RADWARE-BOT-2018-2019,not_reported,not_reported,security_state_classification,SCH0268,DES0144 | DES0145 | DES0146,1,0,EVD1833 | EVD1835 | EVD1838
USE0176,P41311,DS-MAWI,not_reported,not_reported,security_state_classification,SCH0271,DES0147 | DES0148 | DES0149 | DES0150,0,1,EVD1845
USE0177,P41311,DS-CIC-DDOS-2019,not_reported,not_reported,security_state_classification,SCH0270,DES0147 | DES0149 | DES0150,0,1,EVD1850
USE0178,P41311,DS-SUCURI-SSDP-2014,not_reported,not_reported,security_state_classification,SCH0272,DES0147 | DES0149 | DES0150,0,1,EVD1850
USE0179,P41311,DS-BOOTERS-2015,not_reported,not_reported,security_state_classification,SCH0269,DES0147 | DES0149 | DES0150,0,1,EVD1850
USE0180,P41557,DS-WANG-WF-2014,k-NNset,training | validation | test,semantic_inference,SCH0275,DES0431,1,0,EVD0477 | EVD2092
USE0181,P41557,DS-MEI-2023-SINGLE-TAB,newly released 2023 single-tab dataset,test,semantic_inference,SCH0274,DES0432,1,0,EVD0591 | EVD2093
USE0182,P41557,DS-DF-2017,DFset | Walkie-Talkie dataset,training | validation | background_open_world | test,semantic_inference,SCH0273,DES0430,1,0,EVD0453 | EVD0489 | EVD2091
USE0183,P41709,DS-P41709-TUNTIGHT-DEPLOYMENT,not_reported,not_reported,security_state_classification,SCH0276,DES0151,0,1,EVD1852 | EVD1853 | EVD1854
USE0184,P41766,DS-CROSS-PLATFORM-2017,CrossPlatform | Android | iOS,training | validation | test,semantic_inference,SCH0279 | SCH0281,DES0435 | DES0436,2,0,EVD0474 | EVD2096 | EVD2097
USE0185,P41766,DS-ISCX-VPN-2016,ISCXVPN2016,training | validation | test,semantic_inference,SCH0278 | SCH0280,DES0438 | DES0439,2,0,EVD0547 | EVD2099 | EVD2100
USE0186,P41766,DS-USTC-TFC-2016,USTC-TFC2016,training | validation | test,semantic_inference,SCH0277,DES0440,1,0,EVD0530 | EVD2101
USE0187,P42020,DS-P42020-OWL-PUBLIC-WIFI-2019,OWL dataset | broadcast traffic dataset,training | validation | test,endpoint_or_platform_identification,SCH0282 | SCH0283,DES0441 | DES0442,2,0,EVD0490 | EVD2102 | EVD2103
USE0188,P42427,DS-PINGPONG-IOT,not_reported,not_reported,semantic_inference,SCH0289,DES0152,0,1,EVD1656 | EVD1859
USE0189,P42427,DS-P42427-PC-BACKGROUND,not_reported,not_reported,semantic_inference,SCH0288,DES0152,0,1,EVD1656 | EVD1858
USE0190,P42427,DS-P42427-FOAP-AUTO,not_reported,not_reported,semantic_inference,SCH0284 | SCH0285,DES0152 | DES0153 | DES0156 | DES0157,2,0,EVD1656 | EVD1657 | EVD1660 | EVD1661 | EVD1855
USE0191,P42427,DS-P42427-FOAP-HUMAN,not_reported,not_reported,semantic_inference,SCH0286 | SCH0287,DES0154 | DES0155 | DES0156 | DES0157,2,0,EVD1658 | EVD1659 | EVD1660 | EVD1661 | EVD1856
USE0192,P42427,DS-P42427-MOBILE-WEB,not_reported,not_reported,semantic_inference,SCH0290,DES0152,0,1,EVD1656 | EVD1857
USE0193,P42485,DS-P42485-LUMOS,Training Setup | training dataset | Test Office | Office | Test Apartment 1 | Apartment 1 | Test Apartment 2 | Apartment 2 | Test Lab Space | Lab Space-Low | Lab Space-Medium | Lab Space-High,training | validation | test,endpoint_or_platform_identification,SCH0291 | SCH0292,DES0443 | DES0444,2,0,EVD0472 | EVD0542 | EVD0592 | EVD0631 | EVD0652 | EVD0694 | EVD0702 | EVD0735 | EVD0750 | EVD2104 | EVD2105
USE0194,P42512,DS-P42512-ONLINE-WF,top-100 dataset | sampled-1000 dataset | July 2020 exit traffic | genuine traffic | real data | April 2021 online evaluation | synthetic monitored set | synthetic traffic | Phase IV traces | entry/exit traces | synthetic monitored set crawl,training | background_open_world | test,semantic_inference,SCH0293 | SCH0294 | SCH0295,DES0445 | DES0446 | DES0447,3,0,EVD0495 | EVD0594 | EVD0661 | EVD0662 | EVD0686 | EVD2106 | EVD2107 | EVD2108
USE0195,P42516,DS-P42516-MERIT-DEPLOYMENT,not_reported,not_reported,semantic_inference,SCH0296,DES0158,1,0,EVD1662 | EVD1860
USE0196,P42516,DS-P42516-VPN-TUNING,not_reported,not_reported,semantic_inference,SCH0298,DES0158,0,1,EVD1662 | EVD1862
USE0197,P42516,DS-P42516-MERIT-TUNING,not_reported,not_reported,semantic_inference,SCH0297,DES0158,0,1,EVD1662 | EVD1861
USE0198,P42624,DS-P42624-WTW-YOUTUBECA,YouTubeCA,training | validation | test,semantic_inference,SCH0308,DES0453,1,0,EVD0696 | EVD2114
USE0199,P42624,DS-P42624-WTW-NETFLIXDT,NetflixDT,training | validation | test,semantic_inference,SCH0303,DES0454,1,0,EVD0704 | EVD2115
USE0200,P42624,DS-P42624-WTW-NETFLIX,Netflix,training | validation | test,semantic_inference,SCH0304 | SCH0309 | SCH0311,DES0449 | DES0454 | DES0455,2,1,EVD0774 | EVD2110 | EVD2115 | EVD2116
USE0201,P42624,DS-P42624-WTW-WEB,Web,background_open_world | test,semantic_inference,SCH0307,DES0455,0,1,EVD0796 | EVD2116
USE0202,P42624,DS-P42624-WTW-YOUTUBE100,YouTube100,training | validation | test,semantic_inference,SCH0299 | SCH0301 | SCH0302 | SCH0305 | SCH0312,DES0448 | DES0451 | DES0452 | DES0453 | DES0454 | DES0455,3,2,EVD0606 | EVD2109 | EVD2112 | EVD2113 | EVD2114 | EVD2115 | EVD2116
USE0203,P42624,DS-P42624-WTW-TELECONF,Teleconf,background_open_world | test,semantic_inference,SCH0314,DES0455,0,1,EVD0805 | EVD2116
USE0204,P42624,DS-P42624-WTW-AMAZONDT,AmazonDT,training | validation | test,semantic_inference,SCH0313,DES0454,1,0,EVD0748 | EVD2115
USE0205,P42624,DS-P42624-WTW-YOUTUBE200,YouTube200,training | background_open_world | test,semantic_inference,SCH0300 | SCH0306 | SCH0316,DES0451 | DES0454 | DES0455,1,2,EVD0737 | EVD0811 | EVD2112 | EVD2115 | EVD2116
USE0206,P42624,DS-P42624-WTW-AMAZON,Amazon,training | validation | test,semantic_inference,SCH0310 | SCH0315,DES0450 | DES0454,2,0,EVD0522 | EVD2111 | EVD2115
USE0207,P42690,DS-UAV-ACTIVITY-LABAYEN-2020,UAV | UAV dataset,training | validation | test,semantic_inference,SCH0317,DES0456,1,0,EVD0598 | EVD2117
USE0208,P42690,DS-IOT-SENTINEL-2017,IDI | IoT Sentinel dataset,training | validation | test,endpoint_or_platform_identification,SCH0318,DES0459,1,0,EVD0679 | EVD2120
USE0209,P42690,DS-P42690-INPUT-AGNOSTIC-SWF-2020,SWF | Shadowsocks website fingerprinting dataset,training | validation | background_open_world | test,semantic_inference,SCH0319,DES0457 | DES0460 | DES0461,1,0,EVD0742 | EVD2118 | EVD2121 | EVD2122
USE0210,P42933,DS-P42933-LBNL-SSH,not_reported,not_reported,endpoint_or_platform_identification | security_state_classification,SCH0320 | SCH0321,DES0159 | DES0160 | DES0161 | DES0162,2,0,EVD1663 | EVD1664 | EVD1665 | EVD1666 | EVD1863
USE0211,P42933,DS-P42933-LBNL-TELNET,not_reported,not_reported,security_state_classification,SCH0322,DES0163,1,0,EVD1667 | EVD1864
USE0212,P43021,DS-DEEPVC-ALEXA-2019,DeepVC dataset | previous Alexa dataset,training | test,semantic_inference,SCH0324,DES0464,1,0,EVD0518 | EVD2125
USE0213,P43021,DS-P43021-VA-FP,simple_100_alexa | stream_15_alexa | skills_100_alexa | simple_50_google | simple_50_alexa | simple_50_siri | mix_100_alexa | idle traffic | idle dataset | different Alexa and network dataset | cross-device dataset | real-world dataset | user study dataset,training | validation | background_open_world | test,semantic_inference,SCH0323 | SCH0325 | SCH0326 | SCH0327 | SCH0328,DES0465 | DES0466 | DES0467 | DES0468 | DES0469 | DES0470 | DES0471,5,0,EVD0508 | EVD0553 | EVD0582 | EVD0622 | EVD0663 | EVD0690 | EVD0692 | EVD0695 | EVD0707 | EVD0812 | EVD2126 | EVD2127 | EVD2128 | EVD2129 | EVD2130 | EVD2131 | EVD2132
USE0214,P43026,DS-TIKTOK-LIVE-WALKIE-TALKIE-2019,live Tor dataset | Walkie-Talkie dataset,training | validation | background_open_world | test,semantic_inference,SCH0331,DES0473 | DES0475,1,0,EVD0556 | EVD2134 | EVD2136
USE0215,P43026,DS-DF-2017,first dataset | DF dataset | undefended traces,training | validation | background_open_world | test,semantic_inference,SCH0329 | SCH0330,DES0472 | DES0474 | DES0476 | DES0477 | DES0478,2,0,EVD0483 | EVD2133 | EVD2135 | EVD2137 | EVD2138 | EVD2139
USE0216,P43500,DS-P43500-P43500-ALEXA-WSC-HMM,ALEXA-WSC-HMM,test,semantic_inference,SCH0332,DES0481,1,0,EVD0461 | EVD2142
USE0217,P43500,DS-P43500-P43500-ALEXA-WSC-FG,ALEXA-WSC-FG,training | validation | test,semantic_inference,SCH0333 | SCH0335 | SCH0337,DES0479 | DES0481 | DES0482,3,0,EVD0497 | EVD2140 | EVD2142 | EVD2143
USE0218,P43500,DS-P43500-P43500-TRANCO-WSC-FG,TRANCO-WSC-FG,test,semantic_inference,SCH0336,DES0480,1,0,EVD0480 | EVD2141
USE0219,P43500,DS-P43500-P43500-ALEXA-WSC-BG,ALEXA-WSC-BG,background_open_world | test,semantic_inference,SCH0334,DES0482,0,1,EVD0685 | EVD2143
USE0220,P43680,DS-CIRA-CIC-DOHBRW-2020,not_reported,not_reported,security_state_classification,SCH0338,DES0164,1,0,EVD1865 | EVD1869
USE0221,P43680,DS-TII-SSRC-23,not_reported,not_reported,security_state_classification,SCH0339,DES0165,1,0,EVD1865 | EVD1869
USE0222,P43793,DS-P43793-LAB-VALIDATION,not_reported,not_reported,security_state_classification,SCH0342 | SCH0343,DES0167 | DES0168 | DES0170,2,0,EVD1669 | EVD1670 | EVD1672 | EVD1871
USE0223,P43793,DS-P43793-MSAD,not_reported,not_reported,security_state_classification,SCH0344,DES0168 | DES0169,1,0,EVD1670 | EVD1671 | EVD1872
USE0224,P43793,DS-P43793-FBSAD,not_reported,not_reported,security_state_classification,SCH0340 | SCH0341,DES0166 | DES0167 | DES0170,2,0,EVD1668 | EVD1669 | EVD1672 | EVD1870
USE0225,P43907,DS-P43907-SMS-AIT,not_reported,not_reported,security_state_classification,SCH0345 | SCH0346,DES0171 | DES0172,2,0,EVD1673 | EVD1674 | EVD1873
USE0226,P44356,DS-ISCX-VPN-2016,ISCXVPN | ISCX VPN-nonVPN | VPN dataset,training | validation | test,semantic_inference,SCH0348,DES0484 | DES0485 | DES0486,1,0,EVD0810 | EVD2145 | EVD2146 | EVD2147
USE0227,P44356,DS-ISCX-IDS-2012,ISCX 2012 | ISCXIDS2012,training | validation | test,security_state_classification,SCH0347,DES0483,1,0,EVD0729 | EVD2144
USE0228,P45261,DS-CROSS-PLATFORM-2017,Cross-Platform(iOS) | Cross-Platform(Android),training | validation | test,semantic_inference,SCH0354,DES0492,1,0,EVD0752 | EVD0814 | EVD2153
USE0229,P45261,DS-ISCX-VPN-2016,ISCX-VPN | ISCX-VPN-Service | ISCX-VPN-App,training | validation | test,semantic_inference,SCH0351 | SCH0352,DES0495 | DES0496,2,0,EVD0613 | EVD2156 | EVD2157 | EVD2158
USE0230,P45261,DS-USTC-TFC-2016,USTC-TFC,training | validation | test,other_eligible_fixed_labels,SCH0355,DES0497,1,0,EVD0454 | EVD2159
USE0231,P45261,DS-ISCX-TOR-2016,ISCX-Tor,training | validation | test,semantic_inference,SCH0353,DES0494,1,0,EVD0524 | EVD2155
USE0232,P45721,DS-P45721-APPSNIFFER,Normal | non-VPN dataset | SuperVPN | TurboVPN | NordVPN | Surfshark | concurrent app dataset | TurboVPN concurrent traffic,training | validation | test,semantic_inference,SCH0356,DES0498 | DES0499 | DES0500 | DES0501,1,0,EVD0540 | EVD0545 | EVD0567 | EVD0664 | EVD0689 | EVD0773 | EVD2160 | EVD2161 | EVD2162 | EVD2163
USE0233,P45879,DS-P45879-LOW-OVERHEAD-WF,Edge dataset | Microsoft Edge | Chrome dataset | Google Chrome | Firefox dataset | Mozilla Firefox,training | validation | background_open_world | test,semantic_inference,SCH0357 | SCH0358,DES0502 | DES0503,2,0,EVD0515 | EVD0584 | EVD0718 | EVD2164 | EVD2165
USE0234,P46126,DS-P46126-NETTRACK,not_reported,not_reported,security_state_classification,SCH0359,DES0173,1,0,EVD1675 | EVD1874
USE0235,P46215,DS-P46215-SCANNERSCOPE,not_reported,not_reported,security_state_classification,SCH0360 | SCH0361,DES0174 | DES0175 | DES0176 | DES0177,2,0,EVD1676 | EVD1677 | EVD1678 | EVD1679 | EVD1875
USE0236,P46267,DS-ISCX-VPN-2016,ISCX VPN-nonVPN | ISCX-VPN,training | validation | test,semantic_inference,SCH0365 | SCH0368,DES0507 | DES0508,2,0,EVD0548 | EVD2169 | EVD2170
USE0237,P46267,DS-P46267-TFE-GNN-WWT,WWT | WeChat | WhatsApp | Telegram,training | validation | test,semantic_inference,SCH0363 | SCH0364 | SCH0367,DES0504 | DES0505 | DES0506,3,0,EVD0657 | EVD2166 | EVD2167 | EVD2168
USE0238,P46267,DS-ISCX-TOR-2016,ISCX Tor-nonTor | ISCX-Tor,training | validation | test,semantic_inference,SCH0362 | SCH0366,DES0509 | DES0510,2,0,EVD0463 | EVD2171 | EVD2172
USE0239,P46427,DS-CROSS-PLATFORM-2017,Cross-Platform,training | test,semantic_inference,SCH0370,DES0515,1,0,EVD0502 | EVD2177
USE0240,P46427,DS-ISCX-VPN-2016,ISCX-VPN,training | test,semantic_inference,SCH0373,DES0513,1,0,EVD0634 | EVD2175
USE0241,P46427,DS-SJTU-AN21,SJTU-AN21,training | test,semantic_inference,SCH0371,DES0511,1,0,EVD0526 | EVD2173
USE0242,P46427,DS-USTC-TFC-2016,USTC-TFC | USTC-TFC2016,training | test,other_eligible_fixed_labels,SCH0369,DES0514,1,0,EVD0653 | EVD2176
USE0243,P46427,DS-ISCX-TOR-2016,ISCX-Tor | ISCX-nonTor,training | test,semantic_inference,SCH0372,DES0512,1,0,EVD0667 | EVD2174
USE0244,P46522,DS-WANG-WF-2014,Wang100 | Wang9000 | Wang dataset,training | validation | background_open_world | test,semantic_inference,SCH0383,DES0518,1,0,EVD0745 | EVD2180
USE0245,P46522,DS-P46522-CF-2022-2023,CF dataset | CF500 | CF9000,training | validation | background_open_world | test,semantic_inference,SCH0376 | SCH0377 | SCH0378 | SCH0380 | SCH0382 | SCH0385,DES0516 | DES0517 | DES0518 | DES0520 | DES0521 | DES0522,6,0,EVD0517 | EVD0635 | EVD2178 | EVD2179 | EVD2180 | EVD2182 | EVD2183 | EVD2184
USE0246,P46522,DS-AWF-2017,AWF dataset | AWF100 | AWF775 | AWF9000,training | validation | background_open_world | test,semantic_inference,SCH0379 | SCH0381,DES0516 | DES0519 | DES0520,2,0,EVD0536 | EVD2178 | EVD2181 | EVD2182
USE0247,P46522,DS-DF-2017,DF dataset | DF95 | DF9000,training | validation | background_open_world | test,semantic_inference,SCH0374 | SCH0375 | SCH0384,DES0517 | DES0521 | DES0522,3,0,EVD0749 | EVD2179 | EVD2183 | EVD2184
USE0248,P46578,DS-TON-IOT,NF-ToN-IoT-V2,training | validation | test,security_state_classification,SCH0387,DES0523,1,0,EVD0646 | EVD0716 | EVD2185
USE0249,P46578,DS-CSE-CIC-IDS-2018,NF-CSE-CIC-IDS2018-V2,training | validation | test,security_state_classification,SCH0386,DES0524,1,0,EVD0658 | EVD0739 | EVD2186
USE0250,P47085,DS-USTC-TFC-2016,USTC-TFC2016,training | validation | test,other_eligible_fixed_labels | semantic_inference,SCH0396 | SCH0398,DES0525 | DES0529,2,0,EVD0641 | EVD2187 | EVD2191
USE0251,P47085,DS-CROSSNET-2021,CrossNet2021,training | validation | test,other_eligible_fixed_labels | semantic_inference,SCH0390 | SCH0391 | SCH0394,DES0528 | DES0532 | DES0534,3,0,EVD0795 | EVD0800 | EVD2190 | EVD2194 | EVD2197
USE0252,P47085,DS-CIC-IDS-2017,CICIDS2017 | IDS2017,training | validation | test,other_eligible_fixed_labels | security_state_classification | semantic_inference,SCH0389 | SCH0392 | SCH0393,DES0527 | DES0531 | DES0533,3,0,EVD0683 | EVD0700 | EVD2189 | EVD2193 | EVD2195 | EVD2196 | EVD2198
USE0253,P47085,DS-ISCX-TOR-2016,ISCXTor2016,training | validation | test,other_eligible_fixed_labels | semantic_inference,SCH0388 | SCH0397,DES0526 | DES0530,2,0,EVD0457 | EVD2188 | EVD2192
USE0254,P47085,DS-CSE-CIC-IDS-2018,CSE-CIC-IDS2018 | IDS2018,training | validation | test,security_state_classification,SCH0395,DES0533,1,0,EVD0562 | EVD0601 | EVD2195 | EVD2196 | EVD2198
USE0255,P47353,DS-P47353-DECETT,Shadowsocks dataset | ShadowsocksR dataset | V2Ray dataset | Trojan dataset | OpenVPN dataset,training | validation | test,semantic_inference,SCH0399,DES0535 | DES0536 | DES0537 | DES0538 | DES0539 | DES0540,1,0,EVD0531 | EVD0617 | EVD0698 | EVD0719 | EVD0720 | EVD2199 | EVD2200 | EVD2201 | EVD2202 | EVD2203 | EVD2204
USE0256,P47584,DS-P47584-HOLMES-WATSON,CW-popular | popular | CW-random | random | CW-censorship | censorship | Bandwidth-unconstrained | unconstrained | Time-Drift 18-day | Bandwidth-starlink-like | starlink-like | Bandwidth-slow | slow | Browser-chrome | chrome | Time-Drift 30-day | Browser-chrome-legacy | chrome-legacy | Browser-firefox | firefox | OW | open world | Supplementary data,training | validation | calibration | background_open_world | test,semantic_inference,SCH0400 | SCH0401 | SCH0402 | SCH0403 | SCH0404,DES0541 | DES0542 | DES0543 | DES0544 | DES0545 | DES0546 | DES0547 | DES0548 | DES0549 | DES0550 | DES0551 | DES0552,5,0,EVD0455 | EVD0469 | EVD0473 | EVD0486 | EVD0513 | EVD0563 | EVD0581 | EVD0587 | EVD0607 | EVD0612 | EVD0629 | EVD0636 | EVD0650 | EVD0654 | EVD0674 | EVD0703 | EVD0708 | EVD0714 | EVD0721 | EVD0777 | EVD0788 | EVD0808 | EVD1876 | EVD1877 | EVD2205 | EVD2206 | EVD2207 | EVD2208 | EVD2209 | EVD2210 | EVD2211 | EVD2212 | EVD2213 | EVD2214 | EVD2215 | EVD2216 | EVD2217 | EVD2218
USE0257,P48170,DS-P48170-NOMOATS,not_reported,not_reported,security_state_classification,SCH0405 | SCH0406,DES0178 | DES0179,2,0,EVD1680 | EVD1681 | EVD1878
USE0258,P48205,DS-TIKTOK-LIVE-WALKIE-TALKIE-2019,Real-world W-T | live Walkie-Talkie | realistically defended dataset,training | validation | test,semantic_inference,SCH0408,DES0555,1,0,EVD0730 | EVD2221
USE0259,P48205,DS-ONION-SITES-2016,Onion Sites | .onion dataset,training | validation | test,semantic_inference,SCH0407,DES0554,1,0,EVD0511 | EVD2220
USE0260,P48205,DS-DF-2017,Undefended | WTF-PAD | DF dataset | Walkie-Talkie simulated | W-T simulated | Walkie-Talkie dataset,training | validation | test,semantic_inference,SCH0409,DES0553 | DES0556,1,0,EVD0638 | EVD0639 | EVD2219 | EVD2222
USE0261,P48207,DS-WANG-WF-2014,Wang et al. dataset | CS-BuFLO | Tamaraw,training | validation | test,semantic_inference,SCH0410,DES0558,1,0,EVD0731 | EVD2224
